name,address,price,unit_price,house_type,area,floor,build_year
898万可议4室3厅 明珠花园(市南) 南北通透 精装修,明珠花园(市南) 市南-五四广场-澳门路16-20号,10501050万,1050万,4室3厅,242m²,共4层,2005年建造
世茂拾贰府 新上多层电梯洋房 楼间距大采光好 诚售,世茂拾贰府 崂山-麦岛-青大三路10号,11501150万,1150万,4室2厅,184m²,共5层,2015年建造
新上 玺景园 谁看谁喜欢 送车库 视线超好  超值 户型超棒,广业玺景园 市北-台湛路-芝泉路22号,11801180万,1180万,4室2厅,198m²,共4层,2012年建造
4室1厅 满二 蓝水假期 131平 居家自住 保养好,蓝水假期 胶州-少海-海尔大道207号,140140万,140万,4室1厅,131m²,共4层,2006年建造
馥庭精装未住！五楼加阁楼，五楼92.3平，内置楼梯，四室两厅,金色家园馥庭 平度-城关-南京路18号,146146万,146万,4室2厅,92m²,共5层,2017年建造
御景尚都一期 4室2厅1卫 91.0平米 160.00万元,御景尚都(一期) 城阳-家佳源-瑞阳路766号,160160万,160万,4室2厅,91m²,共4层,2000年建造
新上，龙秀山庄，上下复试超大空间，无公摊毛胚，发挥你想像,龙秀山庄 胶州-云溪-兰州东路699号,162162万,162万,4室2厅,234m²,共4层,2010年建造
太帅了吧！上下复式两层！龙秀山庄！地铁口五分 中,龙秀山庄 胶州-云溪-兰州东路699号,162162万,162万,4室2厅,234m²,共4层,2010年建造
花园洋房精装套四 仅172万 30万首付满五 保持好天泰奥园,天泰奥园 城阳-天泰城-黑龙江路12号,172172万,172万,4室2厅,128m²,共5层,2005年建造
单价1.34买带装修四室！多层三楼 公摊小 单价低 天泰奥园,天泰奥园 城阳-天泰城-黑龙江路12号,172172万,172万,4室2厅,128m²,共5层,2008年建造
低首付  天泰奥园 多层 套四双卫 南北通透 随时看房,天泰奥园 城阳-天泰城-黑龙江路12号,172172万,172万,4室2厅,128m²,共5层,2006年建造
天泰城天泰奥园套四楼层好小洋房满五年唯一性价比高,天泰奥园 城阳-天泰城-黑龙江路12号,174174万,174万,4室2厅,127m²,共5层,2004年建造
天泰城天泰奥园套四楼层好小洋房满五年唯一性价比高,天泰奥园 城阳-天泰城-黑龙江路12号,174174万,174万,4室2厅,127m²,共5层,2004年建造
上合示范区 唯一别墅项目 碧桂园湖悦天境 送地下 送车位,"碧桂园湖悦天境 胶州-胶州周边-科技大道,近湘江路",175175万,175万,4室2厅,165m²,共4层,2020年建造
一楼带院！一楼带院！三层别墅！带大院，送楼台！私享海湾生活！,三盛国际海岸(别墅) 即墨-蓝色硅谷-岭海西路34号,185185万,185万,4室2厅,130m²,共5层,2020年建造
星光华府 189万 4室3厅 4阁 小复式豪华装修,星光华府 平度-市政府-厦门路99号,189189万,189万,4室3厅,136m²,共5层,2015年建造
御景尚都 叠拼洋房复式 急售 性价比高,御景尚都(一期) 城阳-家佳源-瑞阳路766号,212212万,212万,4室2厅,145m²,共5层,2012年建造
颐山源墅 花园洋房 位置好 前后视野开阔 独梯独户 急售,颐山源墅 崂山-麦岛-青大三路9号,21502150万,2150万,4室2厅,238m²,共5层,2014年建造
新出 滨海大道 金沙滩 多层 复式  全明户型 随时看房,滨海苑 黄岛-薛家岛-漓江西路60号,220220万,220万,4室2厅,156m²,共5层,2002年建造
三层别墅！下叠送160平院子！上叠送院送露台北院地铁旁,三盛国际海岸(别墅) 即墨-蓝色硅谷-岭海西路34号,232232万,232万,4室2厅,150m²,共5层,2000年建造
优惠！！华地仟佰墅 地铁旁 天然氧吧白沙河公园 上下叠送车位,华地仟佰墅(别墅) 城阳-流亭-白沙河路297号,245245万,245万,4室2厅,152m²,共4层,2019年建造
"急售，四中,多层浇筑房,怡翠山庄,四居室 ,好楼层，方正户型",怡翠山庄 黄岛-长江路-长白山路99号,255255万,255万,4室2厅,158m²,共5层,2005年建造
御景尚都二期 4室2厅2卫 144.0平米 260.00万元,御景尚都(二期) 城阳-国学公园-正阳中路77号,260260万,260万,4室2厅,144m²,共5层,2000年建造
精装修，全送，看房随时，御景尚都，家佳源附近,御景尚都(二期) 城阳-国学公园-正阳中路77号,260260万,260万,4室2厅,144m²,共5层,2000年建造
多层电梯洋房，依山傍水金地金泽九里风华 4室2厅2卫143平,"金地金泽九里风华 黄岛-薛家岛-连江路,近长江东路",262262万,262万,4室2厅,143m²,共5层,2020年建造
